move_num,color_next,winrate_B,winrate_W,LZ_next_move,variation,actual_next_move
0,B,43.35,56.65,Q4,"Q4 D16 D4 Q16",Q16
1,W,43.41,56.59,D4,"D4 D16 Q4 R6 R14",C17
2,B,43.77,56.23,Q3,"Q3 D4 Q6 R17",R4
3,W,44.00,56.00,D3,"D3 C5 F4 O3 R17",D3
4,B,44.17,55.83,C5,"C5 F4 O3 R17 R16 Q17",C5
5,W,44.19,55.81,F4,"F4 O3 R17 R16 Q17 O17",P3
6,B,44.31,55.69,E4,"E4 E3 F4 G3 Q5 R17 Q17 R16",Q3
7,W,45.87,54.13,Q5,"Q5 R5 Q6 P2",P4
8,B,44.37,55.63,Q6,"Q6 L4 E4 C4 B4 D5",Q6
9,W,44.71,55.29,L4,"L4 E4 C4 B5 F2 G4",L4
10,B,45.06,54.94,E4,"E4 C4 B4 D5 D4 C3 B6 C6",E4
11,W,44.99,55.01,C4,"C4 B4 D5 D4 C3 B6 C6 B5 E3 F4 G3",F3
12,B,48.22,51.78,F4,"F4 G3 G4",E3
13,W,46.75,53.25,E2,"E2 F2 G2 D2 F1 C3",E2
14,B,46.45,53.55,F2,"F2 G2 D2 F1 C3 R17 Q17 R16",D4
15,W,48.03,51.97,C2,"C2 C3 D2",C3
16,B,51.86,48.14,D2,"D2 C2 F2 D1 G3 R14 R12",D2
17,W,46.39,53.61,C2,"C2 F2 D1 G3 R17 Q17 R16 R14 R15",C2
18,B,46.84,53.16,F2,"F2 D1 G3 R14 R12 P14 N16 R8 R7 Q8 P12",F2
19,W,46.94,53.06,D1,"D1 G3 R17 Q17 R16 R14 R15 Q15 S14 R18 R13 Q14 S12 S17",D1
20,B,46.62,53.38,G3,"G3 R14 R12 P14 N16 R8 R7 Q8 P12 P6",G3
21,W,46.25,53.75,R14,"R14 R12 P14 N16 R8 R7 Q8 P12 P6",Q14
22,B,45.89,54.11,H6,"H6 O17 P14 P13",H6
23,W,46.06,53.94,O17,"O17 P14 P13 O14 Q13 O16 R17",O17
24,B,46.17,53.83,P14,"P14 P13 O14 Q13 O16 R17 R16 Q17 P16",O16
25,W,44.91,55.09,N16,"N16 O15 P17",N16
26,B,44.71,55.29,O15,"O15 P17 Q15 R18 Q11",O15
27,W,43.83,56.17,P17,"P17 Q15 R18 Q11 S14 R17 S18",P17
28,B,44.07,55.93,Q15,"Q15 R18 Q11 S14 R17 S18 P13 R8 R7",Q15
29,W,44.06,55.94,R18,"R18 Q11 S14 R17 S18 P13 R8 R7 Q12",R10
30,B,47.15,52.85,R8,"R8 R18 R14 R13",N2
31,W,47.79,52.21,N3,"N3 M3 N4 R8",N3
32,B,47.26,52.74,M3,"M3 N4 R8 R18 R14 Q7 R7",M3
33,W,46.83,53.17,N4,"N4 R8 R18 R14 Q7 R7 Q5 R6 Q2",Q2
34,B,52.07,47.93,M4,"M4 O2 N4",N4
35,W,57.93,42.07,O2,"O2 Q17 K17 R2 N5",N5
36,B,56.77,43.23,M4,"M4 M5 R2 O2",M4
37,W,53.47,46.53,M5,"M5 R2 O2 L2 O4 L5 R5",Q4
38,B,57.18,42.82,R3,"R3 R5 Q5 R6 Q7",R3
39,W,54.32,45.68,R5,"R5 Q5 S5 R2 P2 S4 R7",R5
40,B,59.26,40.74,Q5,"Q5 R6 R7 S7 Q7 R2 S4 S5 T5",Q5
41,W,55.28,44.72,R6,"R6 R7 S7 Q7 R2 S4 S5 T5 S6",R6
42,B,55.93,44.07,R7,"R7 S7 Q7 R2 S4 S5 T5 S6 S2 T3 T2",R7
43,W,57.63,42.37,S7,"S7 Q7 R2 S4 S5 T5 S6 S2 T3 T2 T6 S3",S7
44,B,57.92,42.08,Q7,"Q7 R2 S4 S5 T5 S6 S2 T3 T2 S8 P5 P2",Q7
45,W,54.89,45.11,S4,"S4 S8 S3 Q17 K17 R12 Q12",S4
46,B,54.03,45.97,S8,"S8 S3 Q17 K17 R12 Q12 R13 M5 O5",S3
47,W,61.21,38.79,S5,"S5 R2 P2 S8 T6 T8 T7",S5
48,B,68.22,31.78,R2,"R2 P2 S8 T6 T8 T7 R9 O5 M5",R2
49,W,62.26,37.74,P2,"P2 S8 T6 T8 T7 R9 O5 M5 N7 Q10 R18",P2
50,B,65.54,34.46,S8,"S8 R1 S1 T2 Q1 T3 Q17 K17 O5 R14",S8
51,W,62.14,37.86,R1,"R1 T2 S1 T7 S2 S6 T3 Q17 K17",R1
52,B,61.74,38.26,T2,"T2 S1 T7 S2 S6 T3 Q17 K17 Q12 M5",T2
53,W,55.49,44.51,S1,"S1 T7 S6 R9 R18 S10 N15 N14 O14 R14",S1
54,B,50.50,49.50,T7,"T7 S6 R9 Q10 O5 R14 Q17",T7
55,W,38.65,61.35,S6,"S6 R9 Q10 O5 R14 Q17 O13 S15 R15",S2
56,B,74.04,25.96,S6,"S6 T3 Q17 K17 R12 M5 L5 Q12 R13",S6
57,W,73.10,26.90,T3,"T3 Q17 K17 R12 Q12 R13 M5 L5 R14",T3
58,B,78.05,21.95,M5,"M5 R18 R14 R13 Q13 P14 P13 S14",M5
59,W,75.95,24.05,R14,"R14 Q17 K17 S15 P10 C15 E16 D12 O13",R18
60,B,79.99,20.01,R14,"R14 R13 Q13 P14 Q12 R12 Q11 S14 R15",R12
61,W,75.10,24.90,S14,"S14 R17 S18",D11
62,B,81.86,18.14,R14,"R14 F16 C13 H7",D16
63,W,80.36,19.64,D17,"D17 E16 E17 F16",D17
64,B,82.26,17.74,E16,"E16 E17 F16 B15",F16
65,W,80.25,19.75,D15,"D15 L16 S14 R17 S18 P13",D15
66,B,82.13,17.87,R14,"R14 M10 L17 M17 L16 O10",R14
67,W,81.70,18.30,M10,"M10 L17 M17 L16 O10 M18",M10
68,B,82.82,17.18,L17,"L17 M17 L16 O10 M18 N18",L16
69,W,79.79,20.21,O10,"O10 M18 S16 N17",K10
70,B,75.80,24.20,L10,"L10 L9 L11 M9",M18
71,W,83.31,16.69,S16,"S16 N17 O10 S15 R16 Q17",M17
72,B,84.60,15.40,L17,"L17 N18 M16 N17 N15",L17
73,W,80.55,19.45,N18,"N18 O10 E16 M16 N17",N18
74,B,81.95,18.05,O10,"O10 E16 M16 N17 N15 L6",N10
75,W,81.22,18.78,M11,"M11 N11 N9 M9 N12 O12 O13",M11
76,B,81.56,18.44,N11,"N11 N9 M9 N12 O12 O13",N11
77,W,79.00,21.00,N9,"N9 M9 N12 O12 O13 P12 O9 P10",N9
78,B,78.18,21.82,M9,"M9 N12 O12 O13 P12 O9 P10 L7 M8 M7",N12
79,W,81.20,18.80,L6,"L6 O9 O8 N8 M9",K7
80,B,79.28,20.72,O9,"O9 E16 F15 O8",L8
81,W,66.39,33.61,M6,"M6 N8 M9 O9 M8",K8
82,B,69.99,30.01,L9,"L9 M6 N8 M9 L6",N8
83,W,71.59,28.41,M9,"M9 O9 E16 F15 M12 N13",E16
84,B,84.15,15.85,M9,"M9 F15 H8 H11",F15
85,W,79.28,20.72,M9,"M9 O9 M12 N13 H16 G17",H17
86,B,81.93,18.07,G17,"G17 H16 H14 G14 G15",G17
87,W,80.56,19.44,H16,"H16 H14 G14 G15 H15 J14",H16
88,B,83.00,17.00,E13,"E13 H14 C13 F13 E15 C16 D14 F12",H14
89,W,79.11,20.89,G14,"G14 H15 G18 G13 F17 G16 J18 D14 C14 D13",G14
90,B,79.01,20.99,H15,"H15 G18 G13 F17 G16 J18 D14 C14 D13",E15
91,W,83.31,16.69,C16,"C16 E13 H13 G15 H15",C16
92,B,84.37,15.63,E13,"E13 G15 E11 E10 F11",G13
93,W,76.77,23.23,H13,"H13 G15 J14 H15",G15
94,B,87.00,13.00,F13,"F13 H13 D13 H12 J14 H18",F13
95,W,85.27,14.73,H13,"H13 D13 J14 H12 J13 B13 G11",H13
96,B,86.67,13.33,D13,"D13 J14 H12 J13 B13 G11",E13
97,W,85.40,14.60,H12,"H12 J14 K15 K14",H12
98,B,79.89,20.11,C13,"C13 J14 H18 J18 F18 F11",J14
99,W,81.99,18.01,K15,"K15 K14 L15 L13 M15 C13 F11",K15
100,B,86.71,13.29,K13,"K13 L13 L12 M12 L14 M13 K14 H18",K14
101,W,75.89,24.11,L15,"L15 L13 M15 C13 F11 H18 J18 F18 H19 G19 G18",L15
102,B,77.83,22.17,L13,"L13 M15 C13 F11 H18 J18 F18 H19 G19 G18 G11",H11
103,W,76.95,23.05,G12,"G12 E11 G11 L13 M15 D12 E10 D10 C11",G12
104,B,76.31,23.69,E11,"E11 G11 L13 M15 D12 E10 D10 C11 F10 E9",E11
105,W,77.24,22.76,G11,"G11 L13 M15 D12 E10 D10 C11 F10 E9 F11 H10",G11
106,B,80.12,19.88,L13,"L13 M15 D12 E10 D10 C11 F10 E9 F11 H10 C12 B11 C9",G10
107,W,78.91,21.09,H10,"H10 F10 D12 C14",F10
108,B,80.27,19.73,F11,"F11 G9 H10 H9",E10
109,W,72.71,27.29,G9,"G9 C14 E9 D9 D10",F9
110,B,73.90,26.10,C14,"C14 L14 B15 H18",C14
111,W,73.57,26.43,L14,"L14 B15 H18 E9 F8 E8 D14",H18
112,B,81.33,18.67,M16,"M16 N17 M15 L14",K12
113,W,63.58,36.42,M15,"M15 J11 F11 L13",M15
114,B,66.98,33.02,J11,"J11 F11 H8 L13",M12
115,W,66.58,33.42,J11,"J11 B15 E9 D10 D9 C10 F18",J11
116,B,69.21,30.79,E9,"E9 F8 E8 F6 G5 E7 D7 D6 C6 D12",E9
117,W,67.46,32.54,F8,"F8 E8 F6 G5 E7 D7 D6 C6 D12 F11 D14",F8
118,B,69.71,30.29,H8,"H8 H9 B15 F6 G5 C9 E18 E17",H8
119,W,69.20,30.80,H9,"H9 B15 F6 G5 C9 B11 C7 E18 E17",G5
120,B,72.65,27.35,G6,"G6 H9 B15 F5",G6
121,W,67.25,32.75,H9,"H9 B15 F5 F4 E8 D8 D7",E8
122,B,70.46,29.54,C9,"C9 F5 F6",D8
123,W,62.82,37.18,D7,"D7 C8 C7 B7 F5",D7
124,B,69.56,30.44,C8,"C8 C7 B7 F5 F4 H5",C7
125,W,63.74,36.26,H9,"H9 B15 D14 D13 C13",D14
126,B,62.13,37.87,D13,"D13 C13 C12 B13 B12 B14 J9",D13
127,W,56.43,43.57,C13,"C13 C12 B13 B12 B14 J9 H9 J8 K9",F5
128,B,67.86,32.14,F4,"F4 C13 C12 B13",F6
129,W,66.66,33.34,E6,"E6 E5 C8 D9 C6",M8
130,B,79.87,20.13,H10,"H10 H9 G9",M7
131,W,63.38,36.62,M9,"M9 O9 N7 L7 E6",E6
132,B,73.85,26.15,E5,"E5 M9 L7",D6
133,W,54.36,45.64,E7,"E7 E5 M9 L7 H9 L9 L10",E7
134,B,65.05,34.95,E5,"E5 M9 L7 H9 L9 L10 O9 N7 O8",E5
135,W,66.82,33.18,M9,"M9 L7 H9 L9 L10 O9 N7 O8 K6",H5
136,B,66.47,33.53,J5,"J5 J6 H4 M9 O9",J5
137,W,64.26,35.74,J6,"J6 H4 M9 O9 N7 O8 M6 B15",H4
138,B,90.66,9.34,J4,"J4 H3 H2 J3",J4
139,W,83.17,16.83,H3,"H3 H2 J3 K3 J2 K2",H3
140,B,85.11,14.89,H2,"H2 J3 K3 J2 K2 H1 G2 F1",F4
141,W,67.85,32.15,J6,"J6 J3 H2 J2 H7 G7 H9",J6
142,B,73.31,26.69,H2,"H2 J3 K6 J7 K3 H7",H2
143,W,62.03,37.97,J3,"J3 K6 J7 K3 H7 J2 M9 O9",C8
144,B,85.95,14.05,D9,"D9 J3 K6 J7",D9
145,W,72.76,27.24,J3,"J3 K6 J7 K3 B7 C6 B12",J3
146,B,75.64,24.36,K6,"K6 J7 K3 B7 C6 B12 B11 C12 C13",K6
147,W,75.30,24.70,J7,"J7 K3 B7 C6 B12 B11 C12 C13 C9 C10",J7
148,B,68.04,31.96,K3,"K3 K5 K4 K2 L3 J2 H7 H9",K3
149,W,57.22,42.78,K5,"K5 K4 K2 L3 J2 H7 H9 L2 B7 C6 B12",K5
150,B,72.97,27.03,K4,"K4 K2 L3 J2 H7 H9 L2 B7 C6 B12 B11",K4
151,W,75.44,24.56,K2,"K2 L3 J2 H7 H9 L2 B7 C6 B12 B11 C12",H7
152,B,71.07,28.93,J2,"J2 M9 O9 B7 C6 B12 B13 C12",J2
153,W,68.27,31.73,M9,"M9 O9 B7 C6 B12 B13 C12 C13 C9",B11
154,B,71.00,29.00,B12,"B12 B7 C6 C9",B12
155,W,53.82,46.18,B7,"B7 C6 C9 C12 C11 F11",C12
156,B,63.42,36.58,C13,"C13 C9 B7 B13 B14",C13
157,W,59.09,40.91,B7,"B7 C9 C6 B9",B7
158,B,48.98,51.02,C9,"C9 C6 B9 M9 O9 F18 S17",C6
159,W,27.18,72.82,C9,"C9 B10 C10 A11 M9 O9 C11",C9
160,B,38.37,61.63,B10,"B10 C10 A11 B13 C11 L3 G4",B10
161,W,44.66,55.34,C10,"C10 A11 M9 O9 B9 C11 S14",C10
162,B,50.21,49.79,A11,"A11 M9 D12 C11 B14 O9",A11
163,W,51.97,48.03,M9,"M9 D12 C11 B14 B9 A10 O9",B9
164,B,69.69,30.31,C11,"C11 M9 D12 O9",C11
165,W,79.36,20.64,M9,"M9 D12 O9 P10 B4",S14
166,B,67.77,32.23,D12,"D12 R13 R15 Q13 S12 S13",D12
167,W,54.50,45.50,R13,"R13 R15 S13 Q12 Q13 P12",R13
168,B,66.72,33.28,R15,"R15 Q13 S12 S13 Q12 O13 N14 P12",R15
169,W,54.83,45.17,Q13,"Q13 S12 S13 Q12 O13 N14 P12",Q13
170,B,53.33,46.67,S12,"S12 S13 Q12 O13 N14 P12 P11 Q11",S12
171,W,51.91,48.09,S13,"S13 Q12 O13 N14 P12 P11 Q11 T11 S16 S15 T15",S13
172,B,59.06,40.94,O13,"O13 Q12 S15 T12 T14",O13
173,W,53.40,46.60,Q12,"Q12 S15 S9 T9 T10 S11 Q9 P10",S16
174,B,68.32,31.68,Q12,"Q12 M9 S15 T15 S17 R17 R16",Q12
175,W,63.13,36.87,M9,"M9 S15 T15 O9 B4 B5 F18 S17",B4
176,B,77.86,22.14,S15,"S15 T15 B5 M9",S15
177,W,64.00,36.00,T15,"T15 S17 R17 R16 T16",T15
178,B,66.70,33.30,S17,"S17 R17 R16 T16 T14 T13",E18
179,W,55.01,44.99,E17,"E17 G18 M9 S17 R17 R16",M9
180,B,67.42,32.58,E17,"E17 D18 B15",O9
181,W,32.19,67.81,E17,"E17 G18 B6 B5",B6
182,B,29.93,70.07,E17,"E17 D18 B15 D19",B5
183,W,34.00,66.00,A5,"A5 C4 B3 E17",A5
184,B,39.00,61.00,C4,"C4 B3 E17 D18 B15 B18",C4
185,W,33.84,66.16,B2,"B2 E17 D18 B15 B18",B3
186,B,34.69,65.31,E17,"E17 D18 B15 B18 A17 A18 C19 D19 G18",D18
187,W,13.46,86.54,E17,"E17 G18 C15 G16",E17
188,B,20.98,79.02,G18,"G18 C18 C15 B15 G16 B14 J16",G18
189,W,19.06,80.94,C18,"C18 C15 B15 G16 B14 J16 K16 J17 J15 J18",C18
190,B,18.11,81.89,C15,"C15 B15 G16 B14 J16 K16 J17 J15 J18 H15",C15
191,W,16.53,83.47,B15,"B15 G16 B14 J16 J15 H15 K18 H19 K17",B15
192,B,17.33,82.67,G16,"G16 B14 J16 J15 H15 K18 H19 K17 L18",B14
193,W,19.39,80.61,A15,"A15 G16 H15 C19 B19",F17
194,B,32.69,67.31,G16,"G16 F18 F19 E19 G19",G16
195,W,23.75,76.25,F18,"F18 F19 A15 J16 K16 J17",F18
196,B,22.15,77.85,F19,"F19 A15 J16 J15 H15",F19
197,W,16.19,83.81,E19,"E19 G19 K18 D19 C19 E19",H19
198,B,26.15,73.85,G19,"G19 A15 S17 R17 R16 T16 J16",G19
199,W,22.48,77.52,A15,"A15 J16 J15 H15 K18 S17",A15
200,B,17.97,82.03,J16,"J16 J15 H15 K18 S17 R17 R16 T16",J16
201,W,22.78,77.22,J15,"J15 H15 K18 S17 R17 R16 T16 T14 T13 T17",J15
202,B,28.44,71.56,H15,"H15 K18 S17 R17 R16 T16 T14 T13 T17 T14 T12 S18",H15
203,W,17.11,82.89,J17,"J17 K16 K18 S17",J17
204,B,46.53,53.47,S17,"S17 R17 R16 T16 T14 T13 T17",L7
205,W,6.76,93.24,L6,"L6 M6 G7 G4",L6
206,B,8.19,91.81,M6,"M6 G7 G4 A9 S17 R17",L9
207,W,7.41,92.59,L10,"L10 M6 G7 G4 A9 S17",L10
208,B,11.06,88.94,M6,"M6 G7 G4 A9 S17 R17 R16 T16",N6
209,W,4.87,95.13,G7,"G7 G4 A9 A17",G7
210,B,3.94,96.06,G4,"G4 A9 A17 A18 B18 B17 A19",G4
211,W,2.86,97.14,R17,"R17 A9 A6 A8 B8 A17",T14
212,B,53.75,46.25,K16,"K16 K18 M16",K16
213,W,19.72,80.28,K18,"K18 M16 N17 N15 L18",K18
214,B,40.71,59.29,M16,"M16 N17 N15 L18 M14 K17 A9 A6",H10
215,W,2.52,97.48,J10,"J10 M16 N17",H9
216,B,22.05,77.95,M16,"M16 N17 N15 L18 J9 K9",M16
217,W,13.39,86.61,N17,"N17 N15 K17 R17 S17 S18",N17
218,B,11.83,88.17,N15,"N15 K17 R17 S17 S18 T18 Q18 S19",J9
219,W,6.54,93.46,K9,"K9 G9 J12 N15",K9
